gid_0,name_0,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
PAK,Pakistan,bws,Ind,3.554658339,39,3,High (40-80%),Asia,South Asia
TGO,Togo,drr,Irr,3.551324995,14,3,Medium - High (0.6-0.8),Africa,Sub-Saharan Africa
AND,Andorra,bws,One,3.544997224,30,3,High (40-80%),Europe,Europe & Central Asia
AND,Andorra,bws,Tot,3.544997224,40,3,High (40-80%),Europe,Europe & Central Asia
AND,Andorra,bws,Dom,3.544997224,35,3,High (40-80%),Europe,Europe & Central Asia
AND,Andorra,bws,Ind,3.544997224,40,3,High (40-80%),Europe,Europe & Central Asia
AND,Andorra,bws,Irr,3.544997224,41,3,High (40-80%),Europe,Europe & Central Asia
AND,Andorra,bws,Liv,3.544997224,32,3,High (40-80%),Europe,Europe & Central Asia
TGO,Togo,drr,One,3.54168502,6,3,Medium - High (0.6-0.8),Africa,Sub-Saharan Africa
LKA,Sri Lanka,drr,Ind,3.53343311,7,3,Medium - High (0.6-0.8),Asia,South Asia
UZB,Uzbekistan,drr,Irr,3.527416215,15,3,Medium - High (0.6-0.8),Asia,Europe & Central Asia
HND,Honduras,rfr,Pop,3.526616315,43,3,"High (8 in 1,000 to 1 in 100)",Americas,Latin America & Caribbean
IDN,Indonesia,drr,Dom,3.51734153,10,3,Medium - High (0.6-0.8),Asia,East Asia & Pacific
IRQ,Iraq,bws,One,3.516919166,31,3,High (40-80%),Asia,Middle East & North Africa
ROU,Romania,drr,Ind,3.515128145,8,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
GTM,Guatemala,rfr,Pop,3.512712615,44,3,"High (8 in 1,000 to 1 in 100)",Americas,Latin America & Caribbean
TGO,Togo,drr,Tot,3.511489105,12,3,Medium - High (0.6-0.8),Africa,Sub-Saharan Africa
HUN,Hungary,drr,Liv,3.510518995,9,3,Medium - High (0.6-0.8),Europe,Europe & Central Asia
MAR,Morocco,bws,Liv,3.505195064,33,3,High (40-80%),Africa,Middle East & North Africa
TGO,Togo,drr,Dom,3.50401219,11,3,Medium - High (0.6-0.8),Africa,Sub-Saharan Africa
ALB,Albania,bws,Irr,3.502358465,42,3,High (40-80%),Europe,Europe & Central Asia
UZB,Uzbekistan,drr,Tot,3.496206055,13,3,Medium - High (0.6-0.8),Asia,Europe & Central Asia
TUR,Turkey,bws,Irr,3.486397482,43,3,High (40-80%),Asia,Europe & Central Asia
MAR,Morocco,drr,Ind,3.48340418,9,3,Medium - High (0.6-0.8),Africa,Middle East & North Africa
TUN,Tunisia,drr,Irr,3.482967205,16,3,Medium - High (0.6-0.8),Africa,Middle East & North Africa
LBN,Lebanon,drr,Liv,3.48251728,10,3,Medium - High (0.6-0.8),Asia,Middle East & North Africa
ALB,Albania,bws,Tot,3.473828698,41,3,High (40-80%),Europe,Europe & Central Asia
NER,Niger,bws,Tot,3.471298326,42,3,High (40-80%),Africa,Sub-Saharan Africa
IRQ,Iraq,bws,Ind,3.471128129,41,3,High (40-80%),Asia,Middle East & North Africa
ALB,Albania,bws,Dom,3.470664128,36,3,High (40-80%),Europe,Europe & Central Asia
