gid_0,name_0,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
BWA,Botswana,bws,Tot,4.664307436,15,4,Extremely High (>80%),Africa,Sub-Saharan Africa
ISR,Israel,bws,Ind,4.655947875,14,4,Extremely High (>80%),Asia,Middle East & North Africa
IRN,Iran,bws,Tot,4.653368575,16,4,Extremely High (>80%),Asia,Middle East & North Africa
BGD,Bangladesh,rfr,Pop,4.643022258,4,4,Extremely High (more than 1 in 100),Asia,South Asia
BWA,Botswana,bws,Ind,4.640601157,15,4,Extremely High (>80%),Africa,Sub-Saharan Africa
JOR,Jordan,bws,Dom,4.636468682,16,4,Extremely High (>80%),Asia,Middle East & North Africa
MRT,Mauritania,bws,Ind,4.631598256,16,4,Extremely High (>80%),Africa,Sub-Saharan Africa
BWA,Botswana,bws,Liv,4.626210701,14,4,Extremely High (>80%),Africa,Sub-Saharan Africa
JOR,Jordan,bws,Irr,4.624458418,17,4,Extremely High (>80%),Asia,Middle East & North Africa
JOR,Jordan,bws,Tot,4.619580866,18,4,Extremely High (>80%),Asia,Middle East & North Africa
JOR,Jordan,bws,Liv,4.615605605,15,4,Extremely High (>80%),Asia,Middle East & North Africa
YEM,Yemen,bws,Dom,4.599362577,17,4,Extremely High (>80%),Asia,Middle East & North Africa
ZAF,South Africa,bws,Irr,4.597099794,18,4,Extremely High (>80%),Africa,Sub-Saharan Africa
CHL,Chile,bws,Irr,4.573648065,20,4,Extremely High (>80%),Americas,Latin America & Caribbean
IRN,Iran,bws,Dom,4.530941788,18,4,Extremely High (>80%),Asia,Middle East & North Africa
SYR,Syria,bws,Dom,4.507407952,19,4,Extremely High (>80%),Asia,Middle East & North Africa
DJI,Djibouti,bws,Liv,4.496130266,16,4,Extremely High (>80%),Africa,Middle East & North Africa
JOR,Jordan,bws,One,4.472188487,16,4,Extremely High (>80%),Asia,Middle East & North Africa
CHL,Chile,bws,Tot,4.471868674,19,4,Extremely High (>80%),Americas,Latin America & Caribbean
KHM,Cambodia,rfr,Pop,4.461401359,5,4,Extremely High (more than 1 in 100),Asia,East Asia & Pacific
SMR,San Marino,bws,One,4.449199072,17,4,Extremely High (>80%),Europe,Europe & Central Asia
SMR,San Marino,bws,Tot,4.449199072,20,4,Extremely High (>80%),Europe,Europe & Central Asia
SMR,San Marino,bws,Dom,4.449199072,20,4,Extremely High (>80%),Europe,Europe & Central Asia
SMR,San Marino,bws,Ind,4.449199072,17,4,Extremely High (>80%),Europe,Europe & Central Asia
SMR,San Marino,bws,Liv,4.449199072,17,4,Extremely High (>80%),Europe,Europe & Central Asia
JOR,Jordan,bws,Ind,4.445436172,18,4,Extremely High (>80%),Asia,Middle East & North Africa
GRC,Greece,bws,Irr,4.432162943,21,4,Extremely High (>80%),Europe,Europe & Central Asia
BEL,Belgium,bws,Dom,4.421414629,21,4,Extremely High (>80%),Europe,Europe & Central Asia
BEL,Belgium,bws,Tot,4.410841962,21,4,Extremely High (>80%),Europe,Europe & Central Asia
BEL,Belgium,bws,Ind,4.409913336,19,4,Extremely High (>80%),Europe,Europe & Central Asia
MMR,Myanmar,rfr,Pop,4.402091656,6,4,Extremely High (more than 1 in 100),Asia,East Asia & Pacific
BEL,Belgium,bws,Irr,4.372050512,22,4,Extremely High (>80%),Europe,Europe & Central Asia
GRC,Greece,bws,Dom,4.369208725,22,4,Extremely High (>80%),Europe,Europe & Central Asia
SSD,South Sudan,rfr,Pop,4.35345503,7,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
GRC,Greece,bws,Liv,4.351392998,18,4,Extremely High (>80%),Europe,Europe & Central Asia
TUN,Tunisia,bws,Ind,4.3494689,20,4,Extremely High (>80%),Africa,Middle East & North Africa
IRN,Iran,bws,Liv,4.348690701,19,4,Extremely High (>80%),Asia,Middle East & North Africa
GRC,Greece,bws,Tot,4.338904439,22,4,Extremely High (>80%),Europe,Europe & Central Asia
SYR,Syria,bws,Liv,4.338868951,20,4,Extremely High (>80%),Asia,Middle East & North Africa
MRT,Mauritania,bws,One,4.330555054,18,4,Extremely High (>80%),Africa,Sub-Saharan Africa
MEX,Mexico,bws,Irr,4.329301937,23,4,Extremely High (>80%),Americas,Latin America & Caribbean
BWA,Botswana,bws,One,4.318959834,19,4,Extremely High (>80%),Africa,Sub-Saharan Africa
NAM,Namibia,bws,Liv,4.316273,21,4,Extremely High (>80%),Africa,Sub-Saharan Africa
TUN,Tunisia,bws,Dom,4.315099377,23,4,Extremely High (>80%),Africa,Middle East & North Africa
KGZ,Kyrgyzstan,rfr,Pop,4.309121318,8,4,Extremely High (more than 1 in 100),Asia,Europe & Central Asia
TUN,Tunisia,bws,Tot,4.280358914,23,4,Extremely High (>80%),Africa,Middle East & North Africa
BEL,Belgium,bws,Liv,4.2749415,22,4,Extremely High (>80%),Europe,Europe & Central Asia
NAM,Namibia,bws,Irr,4.274431327,24,4,Extremely High (>80%),Africa,Sub-Saharan Africa
TUN,Tunisia,bws,Irr,4.271742545,25,4,Extremely High (>80%),Africa,Middle East & North Africa
AFG,Afghanistan,rfr,Pop,4.268904463,9,4,Extremely High (more than 1 in 100),Asia,South Asia
NER,Niger,bws,Liv,4.242016912,23,4,Extremely High (>80%),Africa,Sub-Saharan Africa
NER,Niger,bws,One,4.24181094,20,4,Extremely High (>80%),Africa,Sub-Saharan Africa
IRQ,Iraq,bws,Irr,4.222124252,26,4,Extremely High (>80%),Asia,Middle East & North Africa
DZA,Algeria,bws,One,4.221967534,21,4,Extremely High (>80%),Africa,Middle East & North Africa
DZA,Algeria,bws,Ind,4.219348966,21,4,Extremely High (>80%),Africa,Middle East & North Africa
TUN,Tunisia,bws,One,4.216171313,22,4,Extremely High (>80%),Africa,Middle East & North Africa
TJK,Tajikistan,rfr,Pop,4.212338709,10,4,Extremely High (more than 1 in 100),Asia,Europe & Central Asia
DJI,Djibouti,rfr,Pop,4.185922177,11,4,Extremely High (more than 1 in 100),Africa,Middle East & North Africa
VNM,Vietnam,rfr,Pop,4.185490564,12,4,Extremely High (more than 1 in 100),Asia,East Asia & Pacific
LAO,Laos,rfr,Pop,4.184712692,13,4,Extremely High (more than 1 in 100),Asia,East Asia & Pacific
NAM,Namibia,bws,Tot,4.175797611,24,4,Extremely High (>80%),Africa,Sub-Saharan Africa
ZAF,South Africa,bws,Tot,4.167753556,25,4,Extremely High (>80%),Africa,Sub-Saharan Africa
UKR,Ukraine,drr,Irr,4.159715335,1,4,High (0.8-1.0),Europe,Europe & Central Asia
IDN,Indonesia,rfr,Pop,4.157848588,14,4,Extremely High (more than 1 in 100),Asia,East Asia & Pacific
NAM,Namibia,bws,One,4.15498634,23,4,Extremely High (>80%),Africa,Sub-Saharan Africa
IRQ,Iraq,bws,Tot,4.146234505,26,4,Extremely High (>80%),Asia,Middle East & North Africa
PER,Peru,bws,Irr,4.139972102,27,4,Extremely High (>80%),Americas,Latin America & Caribbean
IND,India,bws,Irr,4.137340655,28,4,Extremely High (>80%),Asia,South Asia
GUY,Guyana,rfr,Pop,4.1271536,15,4,Extremely High (more than 1 in 100),Americas,Latin America & Caribbean
MDA,Moldova,drr,Liv,4.126074815,1,4,High (0.8-1.0),Europe,Europe & Central Asia
NAM,Namibia,bws,Dom,4.124783137,25,4,Extremely High (>80%),Africa,Sub-Saharan Africa
MDA,Moldova,drr,One,4.119007665,1,4,High (0.8-1.0),Europe,Europe & Central Asia
MDG,Madagascar,rfr,Pop,4.117547783,16,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
TUN,Tunisia,bws,Liv,4.117408191,24,4,Extremely High (>80%),Africa,Middle East & North Africa
RWA,Rwanda,rfr,Pop,4.114553101,17,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
ESP,Spain,bws,Irr,4.114245181,29,4,Extremely High (>80%),Europe,Europe & Central Asia
IND,India,bws,Tot,4.107794474,27,4,Extremely High (>80%),Asia,South Asia
IRN,Iran,bws,Ind,4.104506528,23,4,Extremely High (>80%),Asia,Middle East & North Africa
TCD,Chad,rfr,Pop,4.099907296,18,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
ROU,Romania,drr,Irr,4.092571955,2,4,High (0.8-1.0),Europe,Europe & Central Asia
CHL,Chile,bws,Dom,4.091050516,26,4,Extremely High (>80%),Americas,Latin America & Caribbean
MDA,Moldova,drr,Dom,4.08830029,1,4,High (0.8-1.0),Europe,Europe & Central Asia
MDA,Moldova,drr,Irr,4.086091695,3,4,High (0.8-1.0),Europe,Europe & Central Asia
MDA,Moldova,drr,Tot,4.08090716,1,4,High (0.8-1.0),Europe,Europe & Central Asia
MDA,Moldova,drr,Ind,4.079502985,1,4,High (0.8-1.0),Europe,Europe & Central Asia
IND,India,bws,Ind,4.06861832,24,4,Extremely High (>80%),Asia,South Asia
LBN,Lebanon,rfr,Pop,4.058835993,19,4,Extremely High (more than 1 in 100),Asia,Middle East & North Africa
MOZ,Mozambique,rfr,Pop,4.058069422,20,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
EGY,Egypt,rfr,Pop,4.056823831,21,4,Extremely High (more than 1 in 100),Africa,Middle East & North Africa
MLI,Mali,rfr,Pop,4.054416008,22,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
PRK,North Korea,rfr,Pop,4.050354699,23,4,Extremely High (more than 1 in 100),Asia,East Asia & Pacific
SLE,Sierra Leone,rfr,Pop,4.049457129,24,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
MWI,Malawi,rfr,Pop,4.046766363,25,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
UZB,Uzbekistan,bws,Liv,4.044773522,26,4,Extremely High (>80%),Asia,Europe & Central Asia
GNB,Guinea-Bissau,rfr,Pop,4.044614204,26,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
PNG,Papua New Guinea,rfr,Pop,4.043224096,27,4,Extremely High (more than 1 in 100),Oceania,East Asia & Pacific
KEN,Kenya,rfr,Pop,4.031405135,28,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
UKR,Ukraine,drr,Tot,4.025066165,2,4,High (0.8-1.0),Europe,Europe & Central Asia
LKA,Sri Lanka,rfr,Pop,4.019451628,29,4,Extremely High (more than 1 in 100),Asia,South Asia
MAR,Morocco,bws,Irr,4.01906683,30,4,Extremely High (>80%),Africa,Middle East & North Africa
UKR,Ukraine,drr,Ind,4.018756375,2,4,High (0.8-1.0),Europe,Europe & Central Asia
YEM,Yemen,rfr,Pop,4.018270676,30,4,Extremely High (more than 1 in 100),Asia,Middle East & North Africa
SUR,Suriname,rfr,Pop,4.016527426,31,4,Extremely High (more than 1 in 100),Americas,Latin America & Caribbean
SYR,Syria,bws,Tot,4.013468628,29,4,Extremely High (>80%),Asia,Middle East & North Africa
GEO,Georgia,rfr,Pop,4.003884947,32,4,Extremely High (more than 1 in 100),Asia,Europe & Central Asia
ERI,Eritrea,bws,Dom,3.997655219,27,3,High (40-80%),Africa,Sub-Saharan Africa
LSO,Lesotho,bws,Ind,3.99703121,26,3,High (40-80%),Africa,Sub-Saharan Africa
MEX,Mexico,bws,Tot,3.995019932,30,3,High (40-80%),Americas,Latin America & Caribbean
MAR,Morocco,bws,Tot,3.988406127,31,3,High (40-80%),Africa,Middle East & North Africa
SDN,Sudan,rfr,Pop,3.982389561,33,3,"High (8 in 1,000 to 1 in 100)",Africa,Sub-Saharan Africa
SYR,Syria,bws,Irr,3.981157638,31,3,High (40-80%),Asia,Middle East & North Africa
BGD,Bangladesh,drr,Irr,3.963354095,4,3,Medium - High (0.6-0.8),Asia,South Asia
