gid_0,name_0,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
POL,Poland,2080,bau,bws,Irr,1.54869009783038,113,1,Low - Medium (10-20%),Europe,Europe & Central Asia
VNM,Vietnam,2030,bau,bws,One,1.54833475633288,85,1,Low - Medium (10-20%),Asia,East Asia & Pacific
BLR,Belarus,2030,pes,bws,Ind,1.54801540876432,96,1,Low - Medium (10-20%),Europe,Europe & Central Asia
RWA,Rwanda,2080,bau,bws,Tot,1.54801313263258,115,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
ROU,Romania,2030,pes,bws,Ind,1.54706838667589,97,1,Low - Medium (10-20%),Europe,Europe & Central Asia
AGO,Angola,2030,bau,bws,Liv,1.5459957883261,89,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
UKR,Ukraine,2030,opt,bws,Tot,1.54565207920159,98,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SVK,Slovakia,2030,pes,bws,Ind,1.54560888341193,98,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BTN,Bhutan,2050,pes,bws,Ind,1.54559065114011,103,1,Low - Medium (10-20%),Asia,South Asia
VNM,Vietnam,2050,opt,bws,One,1.54546772703996,87,1,Low - Medium (10-20%),Asia,East Asia & Pacific
KEN,Kenya,2080,opt,bws,Dom,1.54419485173004,105,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
ROU,Romania,2030,bau,bws,Dom,1.54401275791989,96,1,Low - Medium (10-20%),Europe,Europe & Central Asia
EST,Estonia,2030,pes,bws,Tot,1.54334810912849,100,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BGR,Bulgaria,2080,bau,bws,Tot,1.54323915614517,116,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SOM,Somalia,2050,pes,bws,Irr,1.54252406919238,107,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
VNM,Vietnam,2030,pes,bws,One,1.54244967659088,89,1,Low - Medium (10-20%),Asia,East Asia & Pacific
AGO,Angola,2030,pes,bws,One,1.54226210199088,90,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
AGO,Angola,2030,opt,bws,Liv,1.54222463506834,91,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
KEN,Kenya,2050,pes,bws,Dom,1.54202002936264,102,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2030,pes,bws,Ind,1.54174967426413,99,1,Low - Medium (10-20%),Europe,Europe & Central Asia
RWA,Rwanda,2080,opt,bws,Tot,1.54089792232858,107,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
ARG,Argentina,2030,opt,bws,Ind,1.54068979367521,95,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
GTM,Guatemala,2050,pes,bws,Ind,1.54045057717902,104,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
POL,Poland,2080,opt,bws,One,1.53952998333337,89,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BLR,Belarus,2030,pes,bws,Tot,1.538874193542,101,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SVK,Slovakia,2030,pes,bws,Tot,1.53860488852462,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
JPN,Japan,2050,bau,bws,Liv,1.53821622690048,92,1,Low - Medium (10-20%),Asia,East Asia & Pacific
MDG,Madagascar,2080,bau,bws,Liv,1.53781988994048,100,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
ETH,Ethiopia,2080,opt,bws,Tot,1.53781152553365,108,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2050,opt,bws,One,1.53749887581493,88,1,Low - Medium (10-20%),Europe,Europe & Central Asia
GBR,United Kingdom,2050,bau,bws,Tot,1.537011748689,106,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BGR,Bulgaria,2030,pes,bws,Tot,1.53699567475924,103,1,Low - Medium (10-20%),Europe,Europe & Central Asia
UKR,Ukraine,2080,opt,bws,Tot,1.53664410645677,109,1,Low - Medium (10-20%),Europe,Europe & Central Asia
DNK,Denmark,2050,pes,bws,Irr,1.53458559460846,108,1,Low - Medium (10-20%),Europe,Europe & Central Asia
UKR,Ukraine,2050,opt,bws,Dom,1.53326766802876,100,1,Low - Medium (10-20%),Europe,Europe & Central Asia
GHA,Ghana,2080,pes,bws,Ind,1.53297052951973,114,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
UKR,Ukraine,2030,opt,bws,Dom,1.53201032430415,97,1,Low - Medium (10-20%),Europe,Europe & Central Asia
CUB,Cuba,2030,bau,bws,Dom,1.53149765238437,97,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
EST,Estonia,2030,pes,bws,Ind,1.53105639885227,100,1,Low - Medium (10-20%),Europe,Europe & Central Asia
TCD,Chad,2080,opt,bws,Liv,1.53064649927515,94,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
RUS,Russia,2030,opt,bws,Dom,1.53050296585721,98,1,Low - Medium (10-20%),Europe,Europe & Central Asia
GTM,Guatemala,2080,pes,bws,Liv,1.53036448271805,97,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
SOM,Somalia,2050,opt,bws,Tot,1.53035428122507,100,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
GBR,United Kingdom,2030,pes,bws,Tot,1.53024536578319,104,1,Low - Medium (10-20%),Europe,Europe & Central Asia
RUS,Russia,2080,bau,bws,Dom,1.5299403587496,110,1,Low - Medium (10-20%),Europe,Europe & Central Asia
ROU,Romania,2030,pes,bws,Liv,1.52926510158238,93,1,Low - Medium (10-20%),Europe,Europe & Central Asia
ROU,Romania,2080,pes,bws,Tot,1.52913736489128,114,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SUR,Suriname,2050,opt,bws,Tot,1.52734490610825,101,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
NGA,Nigeria,2030,pes,bws,Irr,1.52477157573914,100,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2080,bau,bws,Liv,1.52299714266211,102,1,Low - Medium (10-20%),Europe,Europe & Central Asia
MYS,Malaysia,2050,opt,bws,Irr,1.52252220078762,102,1,Low - Medium (10-20%),Asia,East Asia & Pacific
UKR,Ukraine,2080,bau,bws,Tot,1.52217673895926,121,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SUR,Suriname,2030,opt,bws,Irr,1.5217042268027,100,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
PAN,Panama,2080,bau,bws,Tot,1.52166585364799,122,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
KHM,Cambodia,2050,pes,bws,Ind,1.5214714194014,105,1,Low - Medium (10-20%),Asia,East Asia & Pacific
SDN,Sudan,2080,pes,bws,Ind,1.52121002376254,115,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
ROU,Romania,2050,bau,bws,Ind,1.52076681260628,104,1,Low - Medium (10-20%),Europe,Europe & Central Asia
AGO,Angola,2030,pes,bws,Liv,1.52064058133989,94,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BGR,Bulgaria,2050,bau,bws,Liv,1.51945675170365,93,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BGR,Bulgaria,2030,bau,bws,One,1.51937019473275,86,1,Low - Medium (10-20%),Europe,Europe & Central Asia
