gid_0,name_0,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
URY,Uruguay,2050,opt,bws,Dom,1.66429698776255,95,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
PER,Peru,2080,pes,bws,One,1.66383963297332,91,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
CUB,Cuba,2030,pes,bws,One,1.66336044048045,82,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
BGR,Bulgaria,2080,opt,bws,One,1.66269905293025,85,1,Low - Medium (10-20%),Europe,Europe & Central Asia
HTI,Haiti,2050,pes,bws,Tot,1.6622714620266,97,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
POL,Poland,2030,pes,bws,Ind,1.6621131010764,94,1,Low - Medium (10-20%),Europe,Europe & Central Asia
KHM,Cambodia,2050,bau,bws,Tot,1.66190920915789,97,1,Low - Medium (10-20%),Asia,East Asia & Pacific
ARG,Argentina,2080,bau,bws,Ind,1.6618516480445,103,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
JPN,Japan,2080,pes,bws,Tot,1.661620178973,110,1,Low - Medium (10-20%),Asia,East Asia & Pacific
HTI,Haiti,2050,pes,bws,Liv,1.66147998777254,87,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
ROU,Romania,2080,opt,bws,Ind,1.6610067104449,98,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SUR,Suriname,2050,pes,bws,Tot,1.66073812121163,98,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
SUR,Suriname,2050,bau,bws,Tot,1.66061204717976,98,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
MLI,Mali,2080,bau,bws,Tot,1.65987334384134,109,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
POL,Poland,2050,bau,bws,Liv,1.65908204034441,87,1,Low - Medium (10-20%),Europe,Europe & Central Asia
ROU,Romania,2080,opt,bws,Liv,1.65683611708539,89,1,Low - Medium (10-20%),Europe,Europe & Central Asia
CUB,Cuba,2080,opt,bws,Tot,1.65678637619533,101,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
